year,title,authors,venue,publicationDate,citationCount,category,keywordTags,doi,sourceId,url,workType,language,relevanceScore,relevanceReason,abstractSnippet
1907,"A New Topographical Survey of the Human Cerebral Cortex, being an Account of the Distribution of the Anatomically Distinct Cortical Areas and their Relationship to the Cerebral Sulci.",S. Ge,Unknown venue,1907-07-01,184,General Brain Science and Reviews,human,,705b991b98b815d4d9e249cf44fb9d7097526af3,https://www.semanticscholar.org/paper/705b991b98b815d4d9e249cf44fb9d7097526af3,Review,unknown,6,cerebral; cortex; cortical; neuroscience term,
1907,The corpus ponto-bulbare-A hitherto undescribed nuclear mass in the human hind brain,C. Essick,Unknown venue,1907-06-01,42,General Brain Science and Reviews,human,10.1002/AJA.1000070103,e010d29cb1c50857138995c294a2a9df55adf630,https://doi.org/10.1002/AJA.1000070103,paper,unknown,4,brain; brain in title,
1907,New Studies on the Folding of the Visual Cortex and the Significance of the Occipital Sulci in the Human Brain.,S. Ge,Unknown venue,1907-04-01,32,Cognitive and Systems Neuroscience,human,,1617282243b14943aff0ed13f3298fd9054dac3e,https://www.semanticscholar.org/paper/1617282243b14943aff0ed13f3298fd9054dac3e,paper,unknown,8,brain; cortex; brain in title; neuroscience term,
1907,"The tactile centers in the spinal cord and brain of the sea robin, prionotus carolinus",C. J. Herrick,Unknown venue,1907-07-01,19,General Brain Science and Reviews,,10.1002/CNE.920170402,aa84182282c06670f6afc91e9b154d1659987eaf,https://doi.org/10.1002/CNE.920170402,paper,unknown,4,brain; brain in title,
1907,"A STUDY OF THE NEUROFIBRILS IN DEMENTIA PARALYTICA, DEMENTIA SENILIS, CHRONIC ALCOHOLISM, CEREBRAL LUES AND MICROCEPHALIC IDIOCY",S. C. Fuller,Unknown venue,1907-04-01,14,Clinical Neurology and Neurodegeneration,,10.1176/AJP.63.4.415,7f3ca56e0f940d983259643061833e19a131eca9,https://doi.org/10.1176/AJP.63.4.415,paper,unknown,1,cerebral,
1907,HEMICRANIOSIS AND CURE OF BRAIN TUMOR BY OPERATION.,W. G. Spiller,Unknown venue,1907-12-21,13,Clinical Neurology and Neurodegeneration,non-human,10.1001/JAMA.1907.25320250011001B,185c380e46908de9f283abaa1f59c8cb6cf32130,https://doi.org/10.1001/JAMA.1907.25320250011001B,paper,unknown,4,brain; brain in title,
1907,A Brain with Complete Absence of the Corpus Callosum.,J. Cameron,Journal of anatomy and physiology,1907-07-01,7,General Brain Science and Reviews,,,a9db34b8e9fe6dbe7d1a4d2be2af94102c593387,https://www.semanticscholar.org/paper/a9db34b8e9fe6dbe7d1a4d2be2af94102c593387,JournalArticle,unknown,4,brain; brain in title,
1907,Abscess of the Brain,Unknown authors,Atlanta journal-record of medicine,1907-01-01,7,General Brain Science and Reviews,,,f1eede3e663efdf745264ab7b4d3d6bc4f3f59ee,https://www.semanticscholar.org/paper/f1eede3e663efdf745264ab7b4d3d6bc4f3f59ee,JournalArticle,unknown,4,brain; brain in title,
1907,SEQUESTRATION ANAEMIA IN BRAIN AND SKULL SURGERY.,R. H. Dawbarn,Annals of Surgery,1907-02-01,7,General Brain Science and Reviews,non-human,10.1097/00000658-190702000-00001,b1551fb86528f7e17a499de162af7d3a5653c6a9,https://doi.org/10.1097/00000658-190702000-00001,JournalArticle,unknown,4,brain; brain in title,
1907,THE EFFECT OF INJURIES OF THE BRAIN ON THE VASOMOTOR CENTRE,"W. Porter, T. A. Storey",Unknown venue,1907-03-01,5,General Brain Science and Reviews,,10.1152/AJPLEGACY.1907.18.2.181,6ecf3c31b633fc2e585559c91252583afe6b2cfa,https://doi.org/10.1152/AJPLEGACY.1907.18.2.181,paper,unknown,4,brain; brain in title,
1907,BRAIN TUMOR SYMPTOM-COMPLEX WITH TERMINATION IN RECOVERY,H. Hoppe,Unknown venue,1907-02-01,4,Clinical Neurology and Neurodegeneration,,10.1097/00005053-190702000-00002,ae3afee8caae477a5f79040b8dc30ef047324ea2,https://doi.org/10.1097/00005053-190702000-00002,paper,unknown,4,brain; brain in title,
1907,SOME UNUSUAL OCULAR MANIFESTATIONS OF ARTERIOSCLEROSIS.,W. Zentmayer,Unknown venue,1907-03-02,4,Clinical Neurology and Neurodegeneration,human;non-human,10.1001/JAMA.1907.25220350008001B,316e07a3fbfdeb5b18b50fffe3385f063e3e76a3,https://doi.org/10.1001/JAMA.1907.25220350008001B,paper,unknown,1,brain,OPTIC ATROPHY. The first anatomic demonstration of the pressure effects on the optic nerve of sclerosed vessels at the base of the brain was made by Michel 1 in 1877.
1907,A Clinical Lecture ON SUDDEN CEREBRAL LESIONS: THEIR DIAGNOSIS AND IMMEDIATE TREATMENT,W. Gowers,British medical journal,1907-07-06,3,Clinical Neurology and Neurodegeneration,human,10.1136/bmj.2.2427.1,0640bceea5d24c6634b1470ffe4e4d1747d9d902,https://doi.org/10.1136/bmj.2.2427.1,JournalArticle,unknown,1,cerebral,
1907,"ON EXTRACELLULAR AND INTRACELLULAR VENOM ACTIVATORS OF THE BLOOD, WITH ESPECIAL REFERENCE TO LECITHIN AND FATTY ACIDS AND THEIR COMPOUNDS",H. Noguchi,Journal of Experimental Medicine,1907-07-17,3,General Brain Science and Reviews,non-human,10.1084/jem.9.4.436,332919b2984eee1f952ba64cf3d15f9f0dc7182e,https://doi.org/10.1084/jem.9.4.436,JournalArticle,unknown,1,brain,In normal serums of the majority of mammalian and avian blood there exists certain substances capable of activating venom hæmolysin.
1907,REPORT OF A CASE OF INTRACRANIAL TUMOR RESULTING FROM TRAUMATISM.,W. M. Leszynsky,Unknown venue,1907-10-19,3,Clinical Neurology and Neurodegeneration,human,10.1001/JAMA.1907.25320160039003,8912cd3a2fb5d1672d0a094e0199c7611662fe02,https://doi.org/10.1001/JAMA.1907.25320160039003,paper,unknown,1,brain,Symptoms indicating the presence of a brain tumor are often ascribed to a remote blow or fall on the head.
1907,Asymmetry of the Brain and Skull.,S. Ge,Unknown venue,1907-04-01,2,General Brain Science and Reviews,,,b340284a4c3bd748e1a38b90728ad34fec969c67,https://www.semanticscholar.org/paper/b340284a4c3bd748e1a38b90728ad34fec969c67,paper,unknown,4,brain; brain in title,
1907,"ON THE CHEMICAL NATURE OF PARANUCLEOPROTAGON, A NEW PRODUCT FROM BRAIN","M. Steel, W. Gies",Unknown venue,1907-11-01,2,General Brain Science and Reviews,,10.1152/AJPLEGACY.1907.20.2.378,f25c06d304ae9c97c43ec6e5cc598d762a8f9558,https://doi.org/10.1152/AJPLEGACY.1907.20.2.378,paper,unknown,4,brain; brain in title,
1907,"The Theory of the Duplex Brain [Sur la Symétrie Bilatérale du Corps et sur l'Indépendance Fonctionelle des Hémisphères Cérébraux]. (Arch. de Neurol., March-June, 1907.) Bonne, Ch.",H. Ellis,Unknown venue,1907-10-01,2,General Brain Science and Reviews,,10.1192/BJP.53.224.834-A,bf66f3578050467d46a136c718ede10141b58e7f,https://doi.org/10.1192/BJP.53.224.834-A,paper,unknown,4,brain; brain in title,
1907,A CASE OF ABSCESS OF THE BRAIN OF TUBERCULAR ORIGIN IN A BABOON,"J. Rhein, H. Fox",Unknown venue,1907-11-01,1,General Brain Science and Reviews,,10.1097/00005053-190711000-00014,b1bd1ba2beda23ebae5b5fc55ae2e8a0d394569e,https://doi.org/10.1097/00005053-190711000-00014,paper,unknown,4,brain; brain in title,
1907,"Brain and Heart Symptoms, due to Ascarides, in a Mare",H. Gibson,Unknown venue,1907-03-01,1,General Brain Science and Reviews,,10.1016/S0372-5545(17)69307-6,86b48905d0870c8adc927d2a7de89be0a38033ee,https://doi.org/10.1016/S0372-5545(17)69307-6,paper,unknown,4,brain; brain in title,
1907,CREATIN AS A BRAIN STIMULANT,S. Maxwell,Unknown venue,1907-03-01,1,General Brain Science and Reviews,,10.1016/s0021-9258(17)46011-x,99cb0cfe91ca9ea0a1e810859837e06f7edfc572,https://doi.org/10.1016/s0021-9258(17)46011-x,paper,unknown,4,brain; brain in title,
1907,"DIFFICULTIES IN THE,DIAGNOSIS OF BRAIN ABSCESS",Barton H. Potts,Unknown venue,1907-07-01,1,General Brain Science and Reviews,,10.1097/00000441-190707000-00010,ba6eabd7fc6a802da4dbb689dc3debf8fecf5aae,https://doi.org/10.1097/00000441-190707000-00010,paper,unknown,4,brain; brain in title,
1907,II. Clinical Value of the Differential Blood Count in a Case of Acute Brain Disease and in a Case of Acute Double Mastoiditis,W. P. Brandegee,Unknown venue,1907-03-01,1,Clinical Neurology and Neurodegeneration,human,10.1177/000348940701600102,4c3db62145d1bb34db5fba945e1f56e3f9f109ba,https://doi.org/10.1177/000348940701600102,JournalArticle,unknown,4,brain; brain in title,
1907,MIGRAINIC PSYCHOSES.APROPOS OF TWELVE CASES.,A. Gordon,Unknown venue,1907-01-05,1,"Cerebrovascular, Metabolism, and Brain Injury",,10.1001/JAMA.1907.25220270038001G,4a0186dc1ca575472be9bf60954fc868306d58f2,https://doi.org/10.1001/JAMA.1907.25220270038001G,paper,unknown,2,brain; cerebral,The most recent researches in the domain of physiologic chemistry lead to the view that migraine finds its logical explanation in a pathologic metabolism and that the immediate cause of a migrainic attack lies in auto-intoxication.
1907,OTITIO BRAIN ABSCESS,E. B. Dench,Unknown venue,1907-11-01,1,General Brain Science and Reviews,,10.1097/00000441-190711000-00008,dc4b2f3727bbce7795bbb60623a71ef27247292a,https://doi.org/10.1097/00000441-190711000-00008,paper,unknown,4,brain; brain in title,
1907,"POSSIBILITIES AND LIMITATIONS OF BRAIN SURGERY, WITH ESPECIAL VIEW TO TRAUMATISMS.",F. Gray,Annals of Surgery,1907-04-01,1,General Brain Science and Reviews,,10.1097/00000658-190704000-00002,3dc44f9d67d82afed661160179b9edde72711f96,https://doi.org/10.1097/00000658-190704000-00002,JournalArticle,unknown,4,brain; brain in title,
