year,title,authors,venue,publicationDate,citationCount,category,keywordTags,doi,sourceId,url,workType,language,relevanceScore,relevanceReason,abstractSnippet
1912,The development of the cerebral cortex,E. Mellus,Unknown venue,1912-11-01,155,"Brain Development, Plasticity, and Connectomics",,10.1002/AJA.1000140106,5c29234b3ec01a2f2518417550fe3283b75084f3,https://doi.org/10.1002/AJA.1000140106,Review,unknown,5,cerebral; cortex; neuroscience term,
1912,ON THE FUNCTION OF THE CIRCLE OF WILLIS,S. Kramer,Journal of Experimental Medicine,1912-04-01,48,General Brain Science and Reviews,non-human,10.1084/jem.15.4.348,c8bdea96f4e863b5ca6bbb9abac7f99cc9b03606,https://doi.org/10.1084/jem.15.4.348,JournalArticle,unknown,1,brain,"published his ""Cerebri Anatome,"" in which he described, at the base of the brain, the arterial anastomosis which since then has borne his name."
1912,SIGNS AND SYMPTOMS PRESENTED BY THOSE ADDICTED TO COCAIN: OBSERVATIONS IN A SERIES OF TWENTY-THREE CASES,W. Owens,Unknown venue,1912-02-03,18,General Brain Science and Reviews,,10.1001/JAMA.1912.04260020013004,709b77543a2a71f7dca8025027c88196454d64b6,https://doi.org/10.1001/JAMA.1912.04260020013004,paper,unknown,1,brain,"The individual who is under the influence of a nontoxic amount of cocain, or its synthetic substitutes, experiences a sense of elation associated with increased mental and physical vigor."
1912,"MALIGNANT CHORDOMA, INVOLVING BRAIN AND SPINAL CORD","S. Jelliffe, J. H. Larkin",Unknown venue,1912-01-01,12,General Brain Science and Reviews,,10.1097/00005053-191201000-00001,863891c7b6ca9cc519038ddad76ac96bb3b4e1a3,https://doi.org/10.1097/00005053-191201000-00001,paper,unknown,4,brain; brain in title,
1912,THE BRAIN LESIONS PRODUCED BT ELECTRICITY AS OBSERVED AFTER LEGAL ELECTROCUTION,"E. A. Spitzka, H. E. Radasch",Unknown venue,1912-09-01,12,General Brain Science and Reviews,,10.1097/00000441-191209000-00004,035c771a9777a3985d7b662201a235231c27b6a3,https://doi.org/10.1097/00000441-191209000-00004,paper,unknown,4,brain; brain in title,
1912,THE CYTO-ARCHITECTURE OF THE CEREBRAL CORTEX OF A HUMAN FŒTUS OF EIGHTEEN WEEKS,"J. Bolton, John Moyes",Unknown venue,1912-07-01,11,General Brain Science and Reviews,human,10.1093/BRAIN/35.1.1,6c3c1061413f991db1f95337d0e80f755cd20276,https://doi.org/10.1093/BRAIN/35.1.1,paper,unknown,5,cerebral; cortex; neuroscience term,
1912,THE VALUE OF PSYCHOLOGY IN PSYCHIATRY,A. Meyer,Unknown venue,1912-03-30,10,General Brain Science and Reviews,,10.1001/JAMA.1912.04260030309003,090b5fb2831071b486e8746e76a4ce18f370d50d,https://doi.org/10.1001/JAMA.1912.04260030309003,paper,unknown,1,brain,I must begin with a remark as to definition: We are considering the relationship of two fields of debatable connotation.
1912,The effect of a diet of polished rice on the nitrogen and phosphorus of the brain,C. Funk,Journal of Physiology,1912-03-29,9,General Brain Science and Reviews,,10.1113/jphysiol.1912.sp001500,a01cdeabde2f07c9495385fadb3cdf57675e430a,https://doi.org/10.1113/jphysiol.1912.sp001500,JournalArticle,unknown,4,brain; brain in title,
1912,The motor cortex and pyramid tract in the raccoon (Procyon lotor Linn.),S. Simpson,Unknown venue,1912-12-01,9,General Brain Science and Reviews,non-human,10.3181/00379727-10-33,898ac37279ff07ea96417e9643f8ba4d960271cf,https://doi.org/10.3181/00379727-10-33,JournalArticle,unknown,7,brain; cerebral; cortex; cortical; neuroscience term,"The raccoon is a very intelligent animal and, as one would expect, relatively to the size of its body, it possesses a large brain with a highly convoluted cerebral cortex."
1912,A NEW DECOMPRESSION OPERATION FOR THE BRAIN,W. H. Hudson,Annals of Surgery,1912-05-01,7,General Brain Science and Reviews,non-human,10.1097/00000658-191205000-00006,8d2b7abbcf843af4c14872f85b190151f486901f,https://doi.org/10.1097/00000658-191205000-00006,JournalArticle,unknown,4,brain; brain in title,
